agency,tool_name,tool_type,category,url
ADLABS,Proprietary campaign management platform,proprietary,,
Acceleration Partners,APVision,proprietary,,
Accenture Song,Accenture (internal martech/data platforms),proprietary,,
Accenture Song,Python,open-source,,
Accenture Song,dbt,open-source,,
Accenture Song,Apache Airflow,open-source,,
Accenture Song,TensorFlow,open-source,,
Ad Agents,iLead,proprietary,,
Blue Wheel,(proprietary retail media tech),proprietary,,
Brainlabs,Brainlabs (proprietary media automation),proprietary,,
Croud,Croud (proprietary talent/performance platform),proprietary,,
Darkroom,(universal technology layer / AI agents),proprietary,,
Darkroom,Shadow (AI platform for marketers),proprietary,,
Darkroom,Universal technology layer,proprietary,,
Darkroom,The Observatory,proprietary,,
Dentsu,Merkle (technology stack),proprietary,,
Dentsu,dentsu Canvas,proprietary,,
Disruptive Advertising,Optimize,proprietary,,
Ignite Visibility,SureFire Social,proprietary,,
Ignite Visibility,SureFire Search,proprietary,,
Ignite Visibility,Certainty (forecasting),proprietary,,
Instapage,Instapage (landing page platform),proprietary,,
Kwanko,Kwanko Platform,proprietary,,
Madgicx,Madgicx (AI ads platform),proprietary,,
Media Logic,DataSnap,proprietary,,
Merkle,Merkle technology stack (Dentsu),proprietary,,
Moburst,(proprietary mobile UA/creative platform),proprietary,,
NoGood,Goodie,proprietary,,
Omnicom Group,Annalect,proprietary,,
PartnerCentric,Control Suite,proprietary,,
Perform[cb] Agency,Outcome Engine,proprietary,,
Performics,Apollo,proprietary,,
Performics,HVT,proprietary,,
Power Digital,NOVA,proprietary,,
Power Digital,Python,open-source,,
Power Digital,dbt,open-source,,
Power Digital,Apache Airflow,open-source,,
Power Digital,Metabase,open-source,,
Publicis Groupe,Epsilon,proprietary,,
Publicis Groupe,Marcel,proprietary,,
Publicis Groupe,Performics Apollo,proprietary,,
Refuel Agency,Proprietary audience data,proprietary,,
Siege Media,DataFlywheel,proprietary,,
Strike Social,Strike Social (proprietary video optimization),proprietary,,
The Goodway Group,RealValue,proprietary,,
The Interpublic Group (IPG),Acxiom,proprietary,,
Tinuiti,(proprietary retail-media automation),proprietary,,
Tinuiti,Mobius,proprietary,,
Tinuiti,Python,open-source,,
Tinuiti,dbt,open-source,,
Tinuiti,Looker,open-source,,
Valkor Digital,Proprietary AI ad-buying models,proprietary,,
Viral Nation,InNetwork,proprietary,,
WPP,Choreograph,proprietary,,
WPP,GroupM (mPlatform/CANVAS),proprietary,,
WebFX,MarketingCloudFX,proprietary,,
WebFX,Python,open-source,,
WebFX,MySQL,open-source,,
WebFX,Apache,open-source,,
Wpromote,(in-house reporting/optimization tech),proprietary,,
Wpromote,(proprietary cross-channel tech),proprietary,,
